"collection.name","collection.description","slide.filename","slide.name"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-03B.ndpi","HTTdownload-001-03B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-04B.ndpi","HTTdownload-001-04B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-07B.ndpi","HTTdownload-001-07B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-08B.ndpi","HTTdownload-001-08B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-09B.ndpi","HTTdownload-001-09B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-11B.ndpi","HTTdownload-001-11B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-12B.ndpi","HTTdownload-001-12B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-13B.ndpi","HTTdownload-001-13B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-14B.ndpi","HTTdownload-001-14B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-15B.ndpi","HTTdownload-001-15B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-16B.ndpi","HTTdownload-001-16B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-17B.ndpi","HTTdownload-001-17B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-18B.ndpi","HTTdownload-001-18B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-19B.ndpi","HTTdownload-001-19B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-20B.ndpi","HTTdownload-001-20B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-21B.ndpi","HTTdownload-001-21B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-24B.ndpi","HTTdownload-001-24B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-25B.ndpi","HTTdownload-001-25B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-26B.ndpi","HTTdownload-001-26B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-27B.ndpi","HTTdownload-001-27B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-28B.ndpi","HTTdownload-001-28B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-29B.ndpi","HTTdownload-001-29B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-31B.ndpi","HTTdownload-001-31B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-32B.ndpi","HTTdownload-001-32B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-33B.ndpi","HTTdownload-001-33B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-34B.ndpi","HTTdownload-001-34B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-35B.ndpi","HTTdownload-001-35B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-37B.ndpi","HTTdownload-001-37B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-38B.ndpi","HTTdownload-001-38B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-39B.ndpi","HTTdownload-001-39B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-40B.ndpi","HTTdownload-001-40B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-41B.ndpi","HTTdownload-001-41B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-42B.ndpi","HTTdownload-001-42B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-43B.ndpi","HTTdownload-001-43B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-44B.ndpi","HTTdownload-001-44B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-46B.ndpi","HTTdownload-001-46B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-47B.ndpi","HTTdownload-001-47B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-48B.ndpi","HTTdownload-001-48B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-49B.ndpi","HTTdownload-001-49B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-50B.ndpi","HTTdownload-001-50B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-52B.ndpi","HTTdownload-001-52B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-53B.ndpi","HTTdownload-001-53B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-54B.ndpi","HTTdownload-001-54B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-56B.ndpi","HTTdownload-001-56B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-57B.ndpi","HTTdownload-001-57B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-58B.ndpi","HTTdownload-001-58B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-59B.ndpi","HTTdownload-001-59B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-70B.ndpi","HTTdownload-001-70B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-72B.ndpi","HTTdownload-001-72B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-73B.ndpi","HTTdownload-001-73B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-75B.ndpi","HTTdownload-001-75B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-76B.ndpi","HTTdownload-001-76B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-77B.ndpi","HTTdownload-001-77B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-78B.ndpi","HTTdownload-001-78B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-79B.ndpi","HTTdownload-001-79B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-80B.ndpi","HTTdownload-001-80B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-81B.ndpi","HTTdownload-001-81B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-82B.ndpi","HTTdownload-001-82B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-83B.ndpi","HTTdownload-001-83B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-84B.ndpi","HTTdownload-001-84B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-86B.ndpi","HTTdownload-001-86B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-88B.ndpi","HTTdownload-001-88B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-89B.ndpi","HTTdownload-001-89B"
"Download-HTTpilotImages","Download HTT pilot images.","HTT-TILS-001-90B.ndpi","HTTdownload-001-90B"
